mul8u_17R6: 0.57, 1.1, 0.08, 1.35, 0.94, 0.32, 1.23, 1.01, 1.18, 1.4, 1.3, 0.15, 1.06, 1.14
mul8u_17C8: 0.96, 0.42, 0.68, 0.14, 1.11, 0.82, 1.2, 0.24, 1.04, 0.6, 0.17, 0.89, 0.75, 0.48
mul8u_R36: 0.1, 0.19, 0.14, 0.07, 0.12, 0.16, 0.09, 0.13, 0.18, 0.11, 0.06, 0.08, 0.15, 0.2
mul8u_T83: 0.49, 0.3, 0.74, 0.05, 0.6, 0.37, 0.22, 0.65, 0.56, 0.34, 0.78, 0.7, 0.52, 0.26
mul8u_874: 1.48, 1.15, 0.9, 1.32, 1.23, 1.42, 0.82, 1.06, 1.37, 1.53, 1.27, 0.93, 1.12, 1.19
mul8u_197B: 1.29, 0.62, 1.5, 1.06, 1.4, 1.18, 1.56, 0.7, 1.24, 0.56, 1.34, 1.45, 1.6, 1.37
mul8u_2NDH: 0.92, 0.52, 0.26, 0.98, 0.81, 0.39, 0.1, 1.03, 0.75, 0.34, 0.48, 0.86, 0.57, 1.08
mul8u_Z9D: 0.24, 0.13, 0.19, 0.09, 0.27, 0.16, 0.22, 0.12, 0.25, 0.1, 0.2, 0.26, 0.18, 0.15
mul8u_L93: 0.5, 1.18, 1.34, 1.0, 0.1, 1.25, 1.08, 1.37, 0.46, 1.21, 1.14, 1.3, 1.04, 1.41
mul8u_17MJ: 0.05, 0.16, 0.1, 0.19, 0.13, 0.07, 0.15, 0.09, 0.12, 0.18, 0.08, 0.11, 0.06, 0.04
mul8u_4X5: 1.2, 1.48, 1.56, 0.99, 1.33, 1.65, 1.4, 1.25, 1.52, 1.61, 1.44, 1.14, 1.29, 1.36
mul8u_12KA: 1.44, 1.06, 1.23, 0.84, 1.57, 1.31, 1.15, 0.96, 1.36, 1.19, 1.48, 1.27, 1.52, 1.4
mul8u_18UH: 0.79, 0.07, 0.64, 0.96, 0.87, 0.72, 0.58, 0.12, 0.92, 0.68, 0.82, 0.05, 0.15, 0.76
mul8u_19XF: 0.44, 1.28, 1.69, 1.01, 1.51, 1.36, 1.15, 0.87, 1.57, 1.44, 0.94, 1.2, 1.08, 1.62
mul8u_ZDF: 1.62, 1.3, 0.97, 1.5, 1.39, 1.14, 1.54, 1.25, 0.87, 1.44, 1.34, 1.1, 1.66, 1.58
mul8u_GTR: 1.48, 1.23, 1.36, 1.58, 1.09, 1.14, 1.39, 1.27, 1.52, 1.19, 1.44, 1.32, 1.55, 1.6
mul8u_1JJQ: 1.18, 1.51, 1.66, 0.84, 1.44, 1.33, 0.98, 1.28, 1.11, 1.58, 1.23, 1.7, 1.39, 1.62
mul8u_1A0M: 0.05, 0.52, 0.66, 0.19, 0.39, 0.14, 0.59, 0.44, 0.1, 0.48, 0.32, 0.7, 0.56, 0.62
mul8u_8U3: 1.19, 0.89, 0.13, 1.01, 0.71, 1.31, 1.12, 0.96, 0.75, 1.36, 0.6, 1.25, 1.06, 0.65
mul8u_ZB3: 1.25, 1.59, 1.42, 0.97, 1.3, 1.51, 1.66, 1.2, 1.37, 1.62, 1.46, 1.33, 1.56, 1.15
